기업,날짜,회계연도,분기,"주당순이익
EPS(달러)","주당순자산
BPS(달러)","주당매출액
SPS(달러)","주당현금흐름
CPS(달러)","주당배당금
DPS(달러)","주가수익배수
PER(배)","주가순자산배수
PBR(배)","주가매출액배수
PSR(배)","주가현금흐름
배수 PCR(배)","자기자본이익률
ROE(%)","총자산이익률
ROA(%)","투하자본이익률
ROIC(%)",부채비율(%),유동비율(%),"이자보상
배수(배)"
MCD,21.12.31,2022,FY1Q,10.04,-6.17,31.12,12.25,5.25,26.55,-,8.63,21.91,-,14.4,11.4,-,177.8,9.0
MRK,25.09.30,2025,FY4Q,7.57,20.78,25.75,6.84,3.24,11.01,4.04,3.26,12.28,38.9,15.9,28.6,149.7,166.1,17.0
MRK,25.06.30,2025,FY3Q,6.49,19.52,25.35,7.38,3.2,12.12,4.06,3.13,10.72,34.9,14.0,26.5,139.7,142.4,15.0
MRK,25.03.31,2025,FY2Q,6.87,19.16,25.34,8.28,3.16,13.01,4.69,3.55,10.86,38.2,15.1,28.5,138.0,141.0,16.0
MRK,24.12.31,2025,FY1Q,6.74,18.29,25.34,8.48,3.12,14.7,5.43,3.92,11.72,39.2,15.1,28.9,152.7,136.5,16.0
MRK,24.09.30,2024,FY4Q,4.77,17.56,24.93,7.21,3.08,23.7,6.47,4.56,15.76,29.3,11.0,20.8,164.0,136.4,11.0
MRK,24.06.30,2024,FY3Q,5.39,17.2,24.66,6.59,3.04,22.83,7.2,5.02,18.79,33.8,12.7,23.1,158.3,146.6,12.0
MRK,24.03.31,2024,FY2Q,0.9,15.94,24.24,5.83,3.0,144.92,8.28,5.44,22.65,5.8,2.2,7.2,162.1,125.3,4.0
MRK,23.12.31,2024,FY1Q,0.14,14.81,23.7,5.13,2.96,756.88,7.35,4.6,21.24,0.9,0.3,4.4,183.7,125.2,2.0
MRK,23.09.30,2023,FY4Q,1.8,16.26,23.38,6.78,2.92,56.69,6.33,4.4,15.2,10.7,4.3,12.7,158.6,138.4,7.0
MRK,23.06.30,2023,FY3Q,1.22,15.24,22.97,5.94,2.88,94.12,7.57,5.02,19.42,7.1,2.9,9.9,169.9,128.1,6.0
MRK,23.03.31,2023,FY2Q,5.12,18.45,22.8,6.18,2.84,20.73,5.77,4.67,17.23,28.9,12.1,26.0,130.0,144.4,17.0
MRK,22.12.31,2023,FY1Q,5.71,18.16,23.41,7.54,2.8,19.38,6.12,4.75,14.73,33.3,13.5,28.1,137.2,147.4,19.0
MRK,22.09.30,2022,FY4Q,6.01,17.55,23.28,7.78,2.76,14.3,4.91,3.7,11.08,36.6,14.3,28.4,140.7,145.9,19.0
MRK,22.06.30,2022,FY3Q,6.53,17.09,22.59,7.46,2.72,13.91,5.33,4.03,12.2,41.9,16.1,32.0,147.5,138.6,21.0
MRK,22.03.31,2022,FY2Q,5.59,16.17,21.35,6.76,2.68,14.63,5.07,3.84,12.14,38.3,14.3,28.8,160.7,139.7,18.0
MRK,21.12.31,2022,FY1Q,5.14,15.09,19.25,5.58,2.64,14.84,5.07,3.98,13.72,38.9,13.7,27.3,176.6,126.8,16.0
PM,25.09.30,2025,FY4Q,5.52,-7.01,25.69,7.4,4.05,29.26,-,6.31,21.91,-,13.2,22.6,-,84.8,14.0
PM,25.06.30,2025,FY3Q,5.27,-7.69,25.09,6.69,5.4,34.44,-,7.26,27.24,-,12.6,21.7,-,83.0,14.0
PM,25.03.31,2025,FY2Q,4.86,-7.01,24.69,7.48,5.35,32.48,-,6.43,21.23,-,11.7,20.8,-,79.0,13.0
PM,24.12.31,2025,FY1Q,4.52,-7.56,24.36,7.86,5.3,26.52,-,4.94,15.32,-,10.9,19.2,-,88.0,12.0
PM,24.09.30,2024,FY4Q,6.3,-6.24,23.94,7.41,5.25,19.2,-,5.07,16.39,-,14.9,22.4,-,89.0,12.0
PM,24.06.30,2024,FY3Q,5.65,-6.27,23.45,7.46,5.2,17.89,-,4.32,13.59,-,13.6,21.3,-,93.8,11.0
PM,24.03.31,2024,FY2Q,5.12,-6.64,23.16,6.7,5.17,17.86,-,3.96,13.68,-,12.5,19.6,-,94.2,11.0
PM,23.12.31,2024,FY1Q,5.02,-7.23,22.66,5.93,5.14,18.69,-,4.15,15.87,-,12.4,19.4,-,74.9,11.0
PM,23.09.30,2023,FY4Q,5.15,-6.08,22.08,5.79,5.11,17.93,-,4.19,15.98,-,12.9,20.5,-,89.1,12.0
PM,23.06.30,2023,FY3Q,5.17,-6.25,21.37,5.57,5.08,18.83,-,4.57,17.52,-,14.2,22.3,-,85.3,13.0
PM,23.03.31,2023,FY2Q,5.59,-5.76,20.67,5.63,5.06,17.31,-,4.71,17.27,-,17.0,26.4,-,85.1,18.0
PM,22.12.31,2023,FY1Q,5.81,-5.78,20.49,6.97,5.04,17.34,-,4.94,14.52,-,19.6,31.2,-,71.8,21.0
PM,22.09.30,2022,FY4Q,5.62,-5.89,20.46,7.57,5.02,14.72,-,4.06,10.96,-,21.2,33.4,-,91.6,22.0
PM,22.06.30,2022,FY3Q,5.83,-5.83,20.52,8.09,5.0,16.85,-,4.81,12.2,-,21.9,33.5,-,89.4,22.0
PM,22.03.31,2022,FY2Q,5.78,-6.52,20.37,8.16,4.95,16.14,-,4.61,11.51,-,21.8,32.1,-,91.7,21.0
PM,21.12.31,2022,FY1Q,5.83,-6.49,20.17,7.69,4.9,16.24,-,4.71,12.36,-,22.3,31.4,-,92.0,21.0
RTX,25.09.30,2025,FY4Q,4.87,48.2,64.24,5.95,2.62,33.98,3.47,2.61,28.13,10.6,4.0,15.5,158.5,107.3,5.0
RTX,25.06.30,2025,FY3Q,4.55,46.71,62.58,4.38,2.57,31.74,3.13,2.33,33.36,10.0,3.7,15.0,164.9,100.6,4.0
RTX,25.03.31,2025,FY2Q,3.41,46.18,61.36,6.1,2.52,38.36,2.87,2.16,21.73,7.6,2.8,12.7,165.0,100.6,4.0
RTX,24.12.31,2025,FY1Q,3.55,45.16,60.61,5.37,2.48,32.26,2.56,1.91,21.51,7.9,2.9,12.5,167.7,99.3,4.0
RTX,24.09.30,2024,FY4Q,3.47,45.94,59.42,7.75,2.44,34.16,2.64,2.04,15.63,7.9,2.9,12.0,166.8,99.1,4.0
RTX,24.06.30,2024,FY3Q,1.7,44.37,54.47,8.35,2.4,59.01,2.26,1.84,12.02,3.6,1.4,6.8,170.4,99.3,2.0
RTX,24.03.31,2024,FY2Q,2.52,45.59,53.52,6.85,2.36,37.21,2.14,1.82,14.24,5.3,2.2,8.5,162.1,106.7,2.0
RTX,23.12.31,2024,FY1Q,2.23,41.93,48.33,5.53,2.32,37.87,2.02,1.76,15.35,4.7,2.0,8.4,167.9,103.5,2.0
RTX,23.09.30,2023,FY4Q,2.15,47.82,46.09,5.36,2.28,32.83,1.51,1.56,13.43,4.4,2.0,8.2,131.0,103.4,2.0
RTX,23.06.30,2023,FY3Q,3.77,49.61,48.3,3.6,2.24,25.73,1.98,2.03,27.2,7.7,3.5,13.2,121.5,109.9,5.0
RTX,23.03.31,2023,FY2Q,3.75,49.69,46.81,3.98,2.2,25.9,1.97,2.09,24.61,7.7,3.5,13.2,119.9,113.4,5.0
RTX,22.12.31,2023,FY1Q,3.5,49.23,45.46,4.86,2.16,28.55,2.04,2.21,20.7,7.3,3.3,12.5,116.5,108.5,4.0
RTX,22.09.30,2022,FY4Q,3.0,47.54,44.72,3.83,2.12,27.09,1.72,1.83,21.37,6.2,2.8,11.1,123.2,109.0,4.0
RTX,22.06.30,2022,FY3Q,2.99,47.36,43.9,4.58,2.08,32.0,2.03,2.19,21.0,6.2,2.8,10.8,123.5,109.7,4.0
RTX,22.03.31,2022,FY2Q,2.79,48.56,43.46,4.58,2.04,35.24,2.04,2.28,21.65,5.8,2.6,10.8,117.8,116.2,4.0
RTX,21.12.31,2022,FY1Q,2.56,48.66,42.88,4.71,2.01,33.34,1.76,2.0,18.22,5.4,2.4,10.9,118.7,118.6,4.0
TMO,25.09.27,2025,FY4Q,17.31,134.97,115.7,20.24,1.68,26.68,3.44,4.01,22.91,13.1,6.6,15.6,101.9,149.8,5.0
