Date,SPY_Close,SPY_Volume,SPY_Volatility,기준금리,SPY_PER,SPY_PBR,US_GDP,TNX_Close,CPIAUCSL
2025-04-28,550.8499755859375,47613800,8.52996826171875,4.5,24.56,4.69,23548210.0,0.4216000080108643,319.615
2025-04-29,554.3200073242188,47775100,6.9000244140625,4.5,24.56,4.69,23548210.0,0.4172999858856201,319.615
2025-04-30,554.5399780273438,93101500,15.0,4.5,24.56,4.69,23548210.0,0.4177000045776367,319.615
2025-05-01,558.469970703125,63186100,6.21002197265625,4.5,26.34,4.69,23548210.0,0.4230999946594238,319.615
2025-05-02,566.760009765625,60717300,6.0,4.5,26.34,4.69,23548210.0,0.4322000026702881,319.615
2025-05-05,563.510009765625,38659200,4.95001220703125,4.5,26.34,4.69,23548210.0,0.4342999935150146,319.615
2025-05-06,558.7999877929688,48264700,6.38995361328125,4.5,26.34,4.69,23548210.0,0.4308000087738037,319.615
2025-05-07,561.1500244140625,55588000,7.780029296875,4.5,26.34,4.69,23548210.0,0.4275000095367431,319.615
2025-05-08,565.0599975585938,65130800,8.6099853515625,4.5,26.34,4.69,23548210.0,0.4373000144958496,319.615
2025-05-09,564.3400268554688,37603400,4.739990234375,4.5,26.34,4.69,23548210.0,0.4375,319.615
2025-05-12,582.989990234375,78993600,5.96002197265625,4.5,26.34,4.69,23548210.0,0.4456999778747558,319.615
2025-05-13,586.8400268554688,67947200,6.239990234375,4.5,26.34,4.69,23548210.0,0.4499000072479248,320.321
2025-05-14,587.5900268554688,66283500,3.44000244140625,4.5,26.34,4.69,23548210.0,0.4527999877929687,320.321
2025-05-15,590.4600219726562,71268100,5.8699951171875,4.5,26.34,4.69,23548210.0,0.4454999923706054,320.321
2025-05-16,594.2000122070312,76052100,5.219970703125,4.5,26.34,4.69,23548210.0,0.444099998474121,320.321
2025-05-19,594.8499755859375,68168500,7.44000244140625,4.5,26.34,4.69,23548210.0,0.4474999904632568,320.321
