Date,SPY_NAV
2025-07-01,617.479972
2025-07-02,620.424369
2025-07-03,625.688341
2025-07-07,620.780845
2025-07-08,620.338909
2025-07-09,624.103654
2025-07-10,625.903007
2025-07-11,623.83543
2025-07-14,624.712615
2025-07-15,622.298755
2025-07-16,624.283016
2025-07-17,627.640796
2025-07-18,627.617997
2025-07-21,628.508385
2025-07-22,628.921243
2025-07-23,633.837061
2025-07-24,634.281688
2025-07-25,636.829564
2025-07-28,636.93959
2025-07-29,635.057855
2025-07-30,634.266543
2025-07-31,631.975498
2025-08-01,621.899564
2025-08-04,631.07813
2025-08-05,628.023361
2025-08-06,632.590593
2025-08-07,632.093289
2025-08-08,637.071884
2025-08-11,635.539459
2025-08-12,642.759385
2025-08-13,644.853688
2025-08-14,645.069922
2025-08-15,643.342897
2025-08-18,643.326126
2025-08-19,639.615988
2025-08-20,638.07748
2025-08-21,635.606854
2025-08-22,645.265339
2025-08-25,642.52832
2025-08-26,645.218626
2025-08-27,646.757964
2025-08-28,648.809435
2025-08-29,644.719354
2025-09-02,640.390655
2025-09-03,643.659603
2025-09-04,649.076284
2025-09-05,647.110744
2025-09-08,648.503217
2025-09-09,650.260299
2025-09-10,652.21241
2025-09-11,657.736947
2025-09-12,657.442006
2025-09-15,660.674239
2025-09-16,659.847315
2025-09-17,659.217405
2025-09-18,662.373687
2025-09-19,663.767702
2025-09-22,666.746685
2025-09-23,663.075782
2025-09-24,661.190981
2025-09-25,657.883419
2025-09-26,661.779166
2025-09-29,663.526767
2025-09-30,666.308711
2025-10-01,668.605259
2025-10-02,669.024954
2025-10-03,669.13342
2025-10-06,671.619753
2025-10-07,669.063969
2025-10-08,672.959993
2025-10-09,671.127281
2025-10-10,653.019881
2025-10-13,663.1988
2025-10-14,662.170822
2025-10-15,664.884231
2025-10-16,660.702341
2025-10-17,664.190393
2025-10-20,671.281922
2025-10-21,671.304601
2025-10-22,667.732221
2025-10-23,671.629126
2025-10-24,676.957657
2025-10-27,685.273946
2025-10-28,686.842024
2025-10-29,686.813941
2025-10-30,680.016826
2025-10-31,681.844192
2025-11-03,683.05275
2025-11-04,675.0487
2025-11-05,677.514336
2025-11-06,669.950151
2025-11-07,670.858117
